@relation dataset-weka.filters.unsupervised.attribute.AddValues-C9-L2-weka.filters.unsupervised.attribute.AddValues-C9-L3

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute Tilt {0,1,2,3}
@attribute Swing {0,1,2,3}

@data
1085,'2018/02/14 20:34:00:706',2,-48,0,1040,0,1,1
1086,'2018/02/14 20:34:00:710',2,-48,0,1040,0,1,1
1087,'2018/02/14 20:34:00:716',2,-16,-16,1024,-16,1,1
1088,'2018/02/14 20:34:00:717',2,-16,-16,1024,16,1,1
1089,'2018/02/14 20:34:00:726',2,-16,-16,1024,0,1,1
1090,'2018/02/14 20:34:00:737',2,16,-16,1024,0,1,1
1091,'2018/02/14 20:34:00:738',2,16,-16,1024,0,1,1
1092,'2018/02/14 20:34:00:746',2,16,-16,1024,0,1,1
1093,'2018/02/14 20:34:00:747',2,0,0,1040,16,1,1
1094,'2018/02/14 20:34:00:757',2,0,0,1040,-16,1,1
1095,'2018/02/14 20:34:00:767',2,0,0,1040,0,1,1
1096,'2018/02/14 20:34:00:767',2,-16,0,1056,16,1,1
1097,'2018/02/14 20:34:00:779',2,-16,0,1056,-16,1,1
1098,'2018/02/14 20:34:00:780',2,-16,0,1056,0,1,1
1099,'2018/02/14 20:34:00:787',2,-16,-16,1056,0,1,1
1100,'2018/02/14 20:34:00:797',2,0,-16,1056,0,1,1
1101,'2018/02/14 20:34:00:798',2,0,-16,1056,0,1,1
1102,'2018/02/14 20:34:00:806',2,0,-16,1056,0,1,1
1103,'2018/02/14 20:34:00:807',2,-32,-16,1040,-16,1,1
1104,'2018/02/14 20:34:00:817',2,-32,-16,1040,16,1,1
1105,'2018/02/14 20:34:00:828',2,-32,-16,1040,0,1,1
1106,'2018/02/14 20:34:00:828',2,-32,0,1040,0,1,1
1107,'2018/02/14 20:34:00:838',2,-32,0,1040,0,1,1
1108,'2018/02/14 20:34:00:838',2,-32,0,1040,0,1,1
1109,'2018/02/14 20:34:00:847',2,-16,-16,1040,0,1,1
1110,'2018/02/14 20:34:00:857',2,-16,-16,1040,0,1,1
1111,'2018/02/14 20:34:00:857',2,-16,-16,1040,0,1,1
1112,'2018/02/14 20:34:00:867',2,-16,-32,1040,0,1,1
1113,'2018/02/14 20:34:00:867',2,-16,-32,1040,0,1,1
1114,'2018/02/14 20:34:00:876',2,-16,-32,1040,0,1,1
1115,'2018/02/14 20:34:00:888',2,-16,-32,1040,0,1,1
1116,'2018/02/14 20:34:00:888',2,0,-48,1024,-16,1,1
1117,'2018/02/14 20:34:00:896',2,0,-48,1024,16,1,1
1118,'2018/02/14 20:34:00:896',2,0,-48,1024,0,1,1
1119,'2018/02/14 20:34:00:906',2,0,-48,1008,-16,1,1
1120,'2018/02/14 20:34:00:917',2,0,-48,1008,16,1,1
1121,'2018/02/14 20:34:00:917',2,0,-48,1008,0,1,1
1122,'2018/02/14 20:34:00:926',2,-16,-32,1008,0,1,1
1123,'2018/02/14 20:34:00:926',2,-16,-32,1008,0,1,1
1124,'2018/02/14 20:34:00:936',2,-16,-32,1008,0,1,1
